,translated_tweet,remove,tweet_clean,tweet
1180,I love booster vaccines,I love booster vaccines,"['i', 'love', 'booster', 'vaccines']",i love booster vaccines
1181,h booster vaccination left arm gel double because of body pump vaccine wkwk,h booster vaccination left arm gel double because of body pump vaccine wkwk,"['h', 'booster', 'vaccination', 'left', 'arm', 'gel', 'double', 'because', 'of', 'body', 'pump', 'vaccine', 'wkwk']",h booster vaccination left arm gel double because of body pump vaccine wkwk
1182,The hot astra ram booster cellphone can't run because the vaccine has affected my low back pain so much it's gelled up to my neck,The hot astra ram booster cellphone can't run because the vaccine has affected my low back pain so much it's gelled up to my neck,"['the', 'hot', 'astra', 'ram', 'booster', 'cellphone', 'can t', 'run', 'because', 'the', 'vaccine', 'has', 'affected', 'my', 'low', 'back', 'pain', 'so', 'much', 'it s', 'gelled', 'up', 'to', 'my', 'neck']",the hot astra ram booster cellphone can t run because the vaccine has affected my low back pain so much it s gelled up to my neck
1183,h negative x negative until noon check thanksgiving negative afternoon take the vaccine booster praise God,h negative x negative until noon check thanksgiving negative afternoon take the vaccine booster praise God,"['h', 'negative', 'x', 'negative', 'until', 'noon', 'check', 'thanksgiving', 'negative', 'afternoon', 'take', 'the', 'vaccine', 'booster', 'praise', 'god']",h negative x negative until noon check thanksgiving negative afternoon take the vaccine booster praise god
1184,h,h,['h'],h
1185,"h booster vaccine tomorrow, tell me about the effect","h booster vaccine tomorrow, tell me about the effect","['h', 'booster', 'vaccine', 'tomorrow', 'tell', 'me', 'about', 'the', 'effect']",h booster vaccine tomorrow tell me about the effect
1186,"h, my booster vaccine is just a cliché","h, my booster vaccine is just a cliché","['h', 'my', 'booster', 'vaccine', 'is', 'just', 'a', 'clich']",h my booster vaccine is just a clich
1187,h My booster vaccine has cosplayed people who are not passionate about life plus lost energy,h My booster vaccine has cosplayed people who are not passionate about life plus lost energy,"['h', 'my', 'booster', 'vaccine', 'has', 'cosplayed', 'people', 'who', 'are', 'not', 'passionate', 'about', 'life', 'plus', 'lost', 'energy']",h my booster vaccine has cosplayed people who are not passionate about life plus lost energy
1188,h booster vaccine is like a punched hand,h booster vaccine is like a punched hand,"['h', 'booster', 'vaccine', 'is', 'like', 'a', 'punched', 'hand']",h booster vaccine is like a punched hand
1189,"h vaccine, monitor fever, chills, dizziness, nausea, go away, lack of hands, thank god, yha, vaccine vaccine, afraid of injections but afraid of the kipi","h vaccine, monitor fever, chills, dizziness, nausea, go away, lack of hands, thank god, yha, vaccine vaccine, afraid of injections but afraid of the kipi","['h', 'vaccine', 'monitor', 'fever', 'chills', 'dizziness', 'nausea', 'go', 'away', 'lack', 'of', 'hands', 'thank', 'god', 'yha', 'vaccine', 'vaccine', 'afraid', 'of', 'injections', 'but', 'afraid', 'of', 'the', 'kipi']",h vaccine monitor fever chills dizziness nausea go away lack of hands thank god yha vaccine vaccine afraid of injections but afraid of the kipi
1190,"haaa, I'm sure I'm on leave on this hb hb eh, I'm talking about this hb booster vaccine, why is it so bad to the boss, eee, this is hurting your fate, sis, oiii","haaa, I'm sure I'm on leave on this hb hb eh, I'm talking about this hb booster vaccine, why is it so bad to the boss, eee, this is hurting your fate, sis, oiii","['haaa', 'i m', 'sure', 'i m', 'on', 'leave', 'on', 'this', 'hb', 'hb', 'eh', 'i m', 'talking', 'about', 'this', 'hb', 'booster', 'vaccine', 'why', 'is', 'it', 'so', 'bad', 'to', 'the', 'boss', 'eee', 'this', 'is', 'hurting', 'your', 'fate', 'sis', 'oiii']",haaa i m sure i m on leave on this hb hb eh i m talking about this hb booster vaccine why is it so bad to the boss eee this is hurting your fate sis oiii
1191,"After the az booster, I immediately shivered at night, people with fever, yesterday's vaccine didn't have any effect","After the az booster, I immediately shivered at night, people with fever, yesterday's vaccine didn't have any effect","['after', 'the', 'az', 'booster', 'i', 'immediately', 'shivered', 'at', 'night', 'people', 'with', 'fever', 'yesterday s', 'vaccine', 'didn t', 'have', 'any', 'effect']",after the az booster i immediately shivered at night people with fever yesterday s vaccine didn t have any effect
1192,"After the booster, it's like I didn't run out of the vaccine, I didn't get sick from the injection, I didn't really get the injection, didn't I feel like I had an injection?","After the booster, it's like I didn't run out of the vaccine, I didn't get sick from the injection, I didn't really get the injection, didn't I feel like I had an injection?","['after', 'the', 'booster', 'it s', 'like', 'i', 'didn t', 'run', 'out', 'of', 'the', 'vaccine', 'i', 'didn t', 'get', 'sick', 'from', 'the', 'injection', 'i', 'didn t', 'really', 'get', 'the', 'injection', 'didn t', 'i', 'feel', 'like', 'i', 'had', 'an', 'injection']",after the booster it s like i didn t run out of the vaccine i didn t get sick from the injection i didn t really get the injection didn t i feel like i had an injection
1193,"finished c, acute hepatitis has run out of booster vaccines, injects acute hepatitis vaccines","finished c, acute hepatitis has run out of booster vaccines, injects acute hepatitis vaccines","['finished', 'c', 'acute', 'hepatitis', 'has', 'run', 'out', 'of', 'booster', 'vaccines', 'injects', 'acute', 'hepatitis', 'vaccines']",finished c acute hepatitis has run out of booster vaccines injects acute hepatitis vaccines
1194,"After getting Covid, the booster vaccine has been delayed, isn't it?","After getting Covid, the booster vaccine has been delayed, isn't it?","['after', 'getting', 'covid', 'the', 'booster', 'vaccine', 'has', 'been', 'delayed', 'isn t', 'it']",after getting covid the booster vaccine has been delayed isn t it
1195,after getting omicron booster vaccine huh?,after getting omicron booster vaccine huh?,"['after', 'getting', 'omicron', 'booster', 'vaccine', 'huh']",after getting omicron booster vaccine huh
1196,"After seeing the door, the serial number sits down, shut up, file, take a seat, sign card and antigen letter, no booster vaccine, booster vaccine, just bring a card and take it","After seeing the door, the serial number sits down, shut up, file, take a seat, sign card and antigen letter, no booster vaccine, booster vaccine, just bring a card and take it","['after', 'seeing', 'the', 'door', 'the', 'serial', 'number', 'sits', 'down', 'shut', 'up', 'file', 'take', 'a', 'seat', 'sign', 'card', 'and', 'antigen', 'letter', 'no', 'booster', 'vaccine', 'booster', 'vaccine', 'just', 'bring', 'a', 'card', 'and', 'take', 'it']",after seeing the door the serial number sits down shut up file take a seat sign card and antigen letter no booster vaccine booster vaccine just bring a card and take it
1197,run out of booster vaccine,run out of booster vaccine,"['run', 'out', 'of', 'booster', 'vaccine']",run out of booster vaccine
1198,"After the booster vaccine, thank God watching sick, I'm happy because I'm sick, I'm sleepy. Today's core is very happy, url","After the booster vaccine, thank God watching sick, I'm happy because I'm sick, I'm sleepy. Today's core is very happy, url","['after', 'the', 'booster', 'vaccine', 'thank', 'god', 'watching', 'sick', 'i m', 'happy', 'because', 'i m', 'sick', 'i m', 'sleepy', 'today s', 'core', 'is', 'very', 'happy', 'url']",after the booster vaccine thank god watching sick i m happy because i m sick i m sleepy today s core is very happy url
1199,"after the booster vaccine, the body is really hot","after the booster vaccine, the body is really hot","['after', 'the', 'booster', 'vaccine', 'the', 'body', 'is', 'really', 'hot']",after the booster vaccine the body is really hot
1200,"After the booster vaccine, the body actually drops the B vaccine, it's really good","After the booster vaccine, the body actually drops the B vaccine, it's really good","['after', 'the', 'booster', 'vaccine', 'the', 'body', 'actually', 'drops', 'the', 'b', 'vaccine', 'it s', 'really', 'good']",after the booster vaccine the body actually drops the b vaccine it s really good
1201,run out of booster vaccine,run out of booster vaccine,"['run', 'out', 'of', 'booster', 'vaccine']",run out of booster vaccine
1202,"After the booster gel vaccine, it doesn't go away","After the booster gel vaccine, it doesn't go away","['after', 'the', 'booster', 'gel', 'vaccine', 'it', 'doesn t', 'go', 'away']",after the booster gel vaccine it doesn t go away
1203,"After the booster vaccine, the cat bites the chicken in hot water","After the booster vaccine, the cat bites the chicken in hot water","['after', 'the', 'booster', 'vaccine', 'the', 'cat', 'bites', 'the', 'chicken', 'in', 'hot', 'water']",after the booster vaccine the cat bites the chicken in hot water
1204,"After the menstrual booster vaccine, I give my nephew","After the menstrual booster vaccine, I give my nephew","['after', 'the', 'menstrual', 'booster', 'vaccine', 'i', 'give', 'my', 'nephew']",after the menstrual booster vaccine i give my nephew
1205,"after the booster vaccine, it's time to go to work the afternoon shift, it's already time for the kliyengan vaccine, bud, hopefully it will shake up until tomorrow, let's vaccine url","after the booster vaccine, it's time to go to work the afternoon shift, it's already time for the kliyengan vaccine, bud, hopefully it will shake up until tomorrow, let's vaccine url","['after', 'the', 'booster', 'vaccine', 'it s', 'time', 'to', 'go', 'to', 'work', 'the', 'afternoon', 'shift', 'it s', 'already', 'time', 'for', 'the', 'kliyengan', 'vaccine', 'bud', 'hopefully', 'it', 'will', 'shake', 'up', 'until', 'tomorrow', 'let s', 'vaccine', 'url']",after the booster vaccine it s time to go to work the afternoon shift it s already time for the kliyengan vaccine bud hopefully it will shake up until tomorrow let s vaccine url
1206,"After the booster vaccine, I'm feeling sluggish","After the booster vaccine, I'm feeling sluggish","['after', 'the', 'booster', 'vaccine', 'i m', 'feeling', 'sluggish']",after the booster vaccine i m feeling sluggish
1207,"After the booster vaccine, it's like after exercising the arm is really heavy with the muscle arms","After the booster vaccine, it's like after exercising the arm is really heavy with the muscle arms","['after', 'the', 'booster', 'vaccine', 'it s', 'like', 'after', 'exercising', 'the', 'arm', 'is', 'really', 'heavy', 'with', 'the', 'muscle', 'arms']",after the booster vaccine it s like after exercising the arm is really heavy with the muscle arms
1208,"after the booster class vaccine, it's really good","after the booster class vaccine, it's really good","['after', 'the', 'booster', 'class', 'vaccine', 'it s', 'really', 'good']",after the booster class vaccine it s really good
1209,finished the booster vaccine complaining,finished the booster vaccine complaining,"['finished', 'the', 'booster', 'vaccine', 'complaining']",finished the booster vaccine complaining
1210,"After the booster vaccine, I'm hungry","After the booster vaccine, I'm hungry","['after', 'the', 'booster', 'vaccine', 'i m', 'hungry']",after the booster vaccine i m hungry
1211,run out of sciatica booster vaccine,run out of sciatica booster vaccine,"['run', 'out', 'of', 'sciatica', 'booster', 'vaccine']",run out of sciatica booster vaccine
1212,"after the booster vaccine at night, it's hot","after the booster vaccine at night, it's hot","['after', 'the', 'booster', 'vaccine', 'at', 'night', 'it s', 'hot']",after the booster vaccine at night it s hot
1213,"after the booster vaccine, hopefully it's okay","after the booster vaccine, hopefully it's okay","['after', 'the', 'booster', 'vaccine', 'hopefully', 'it s', 'okay']",after the booster vaccine hopefully it s okay
1214,After the booster vaccine in the morning yesterday evening the body immediately aches and the body temperature is drastic,After the booster vaccine in the morning yesterday evening the body immediately aches and the body temperature is drastic,"['after', 'the', 'booster', 'vaccine', 'in', 'the', 'morning', 'yesterday', 'evening', 'the', 'body', 'immediately', 'aches', 'and', 'the', 'body', 'temperature', 'is', 'drastic']",after the booster vaccine in the morning yesterday evening the body immediately aches and the body temperature is drastic
1215,"after the booster vaccine using pfizer, needles hurt using elephant needles like hikss v sinovac v sinovac v pfizer thank God I'm relieved let's take a nap guys","after the booster vaccine using pfizer, needles hurt using elephant needles like hikss v sinovac v sinovac v pfizer thank God I'm relieved let's take a nap guys","['after', 'the', 'booster', 'vaccine', 'using', 'pfizer', 'needles', 'hurt', 'using', 'elephant', 'needles', 'like', 'hikss', 'v', 'sinovac', 'v', 'sinovac', 'v', 'pfizer', 'thank', 'god', 'i m', 'relieved', 'let s', 'take', 'a', 'nap', 'guys']",after the booster vaccine using pfizer needles hurt using elephant needles like hikss v sinovac v sinovac v pfizer thank god i m relieved let s take a nap guys
1216,"After the booster vaccine, the hand really hurts like a gin or not, it doesn't break like a broken bone","After the booster vaccine, the hand really hurts like a gin or not, it doesn't break like a broken bone","['after', 'the', 'booster', 'vaccine', 'the', 'hand', 'really', 'hurts', 'like', 'a', 'gin', 'or', 'not', 'it', 'doesn t', 'break', 'like', 'a', 'broken', 'bone']",after the booster vaccine the hand really hurts like a gin or not it doesn t break like a broken bone
1217,kemang hua hand booster vaccine finished,kemang hua hand booster vaccine finished,"['kemang', 'hua', 'hand', 'booster', 'vaccine', 'finished']",kemang hua hand booster vaccine finished
1218,"After the booster vaccine, my hand is really fast","After the booster vaccine, my hand is really fast","['after', 'the', 'booster', 'vaccine', 'my', 'hand', 'is', 'really', 'fast']",after the booster vaccine my hand is really fast
1219,"running out of booster vaccine, running out of booster cheering up, isn't it?","running out of booster vaccine, running out of booster cheering up, isn't it?","['running', 'out', 'of', 'booster', 'vaccine', 'running', 'out', 'of', 'booster', 'cheering', 'up', 'isn t', 'it']",running out of booster vaccine running out of booster cheering up isn t it
1220,out of vaccine dose url,out of vaccine dose url,"['out', 'of', 'vaccine', 'dose', 'url']",out of vaccine dose url
1221,"after the vaccine, the effect of fever etc. has no effect, no suudzon","after the vaccine, the effect of fever etc. has no effect, no suudzon","['after', 'the', 'vaccine', 'the', 'effect', 'of', 'fever', 'etc', 'has', 'no', 'effect', 'no', 'suudzon']",after the vaccine the effect of fever etc has no effect no suudzon
1222,"After the vaccine, the symptoms are like that, browsing is also the end of the vaccine. C hehe, the internet, Indonesia, makes activity days without limits, URLs","After the vaccine, the symptoms are like that, browsing is also the end of the vaccine. C hehe, the internet, Indonesia, makes activity days without limits, URLs","['after', 'the', 'vaccine', 'the', 'symptoms', 'are', 'like', 'that', 'browsing', 'is', 'also', 'the', 'end', 'of', 'the', 'vaccine', 'c', 'hehe', 'the', 'internet', 'indonesia', 'makes', 'activity', 'days', 'without', 'limits', 'urls']",after the vaccine the symptoms are like that browsing is also the end of the vaccine c hehe the internet indonesia makes activity days without limits urls
1223,"I finished the three vaccines yesterday, only the side effects of the gel, you know, at night I can't sleep, oh my goodness, I took the medicine right away after the vaccine","I finished the three vaccines yesterday, only the side effects of the gel, you know, at night I can't sleep, oh my goodness, I took the medicine right away after the vaccine","['i', 'finished', 'the', 'three', 'vaccines', 'yesterday', 'only', 'the', 'side', 'effects', 'of', 'the', 'gel', 'you', 'know', 'at', 'night', 'i', 'can t', 'sleep', 'oh', 'my', 'goodness', 'i', 'took', 'the', 'medicine', 'right', 'away', 'after', 'the', 'vaccine']",i finished the three vaccines yesterday only the side effects of the gel you know at night i can t sleep oh my goodness i took the medicine right away after the vaccine
1224,"facing the omicron variant, the command is ready for the covid booster vaccine, it's not actually building the url","facing the omicron variant, the command is ready for the covid booster vaccine, it's not actually building the url","['facing', 'the', 'omicron', 'variant', 'the', 'command', 'is', 'ready', 'for', 'the', 'covid', 'booster', 'vaccine', 'it s', 'not', 'actually', 'building', 'the', 'url']",facing the omicron variant the command is ready for the covid booster vaccine it s not actually building the url
1225,"cool prizes, urls for the variety of residents' interest, covid booster vaccines, and automatic motorbike rice door prize vaccinations","cool prizes, urls for the variety of residents' interest, covid booster vaccines, and automatic motorbike rice door prize vaccinations","['cool', 'prizes', 'urls', 'for', 'the', 'variety', 'of', 'residents', 'interest', 'covid', 'booster', 'vaccines', 'and', 'automatic', 'motorbike', 'rice', 'door', 'prize', 'vaccinations']",cool prizes urls for the variety of residents interest covid booster vaccines and automatic motorbike rice door prize vaccinations
1226,"the gift of cooking oil booster vaccine who became a fugitive, you know, you need the community","the gift of cooking oil booster vaccine who became a fugitive, you know, you need the community","['the', 'gift', 'of', 'cooking', 'oil', 'booster', 'vaccine', 'who', 'became', 'a', 'fugitive', 'you', 'know', 'you', 'need', 'the', 'community']",the gift of cooking oil booster vaccine who became a fugitive you know you need the community
1227,haha delete the protocol already who doesn't care not afraid its about human ctrl forcing the bull sit system covid covid omnicron bacotsantuy student labor,haha delete the protocol already who doesn't care not afraid its about human ctrl forcing the bull sit system covid covid omnicron bacotsantuy student labor,"['haha', 'delete', 'the', 'protocol', 'already', 'who', 'doesn t', 'care', 'not', 'afraid', 'its', 'about', 'human', 'ctrl', 'forcing', 'the', 'bull', 'sit', 'system', 'covid', 'covid', 'omnicron', 'bacotsantuy', 'student', 'labor']",haha delete the protocol already who doesn t care not afraid its about human ctrl forcing the bull sit system covid covid omnicron bacotsantuy student labor
1228,hahah when you say dos and then dos you get amek booster you want to wait for you to kill amek vaccine hahaha stupid people people who believe in the king,hahah when you say dos and then dos you get amek booster you want to wait for you to kill amek vaccine hahaha stupid people people who believe in the king,"['hahah', 'when', 'you', 'say', 'dos', 'and', 'then', 'dos', 'you', 'get', 'amek', 'booster', 'you', 'want', 'to', 'wait', 'for', 'you', 'to', 'kill', 'amek', 'vaccine', 'hahaha', 'stupid', 'people', 'people', 'who', 'believe', 'in', 'the', 'king']",hahah when you say dos and then dos you get amek booster you want to wait for you to kill amek vaccine hahaha stupid people people who believe in the king
1229,hahaha awai hang vaccine sucks already p booster,hahaha awai hang vaccine sucks already p booster,"['hahaha', 'awai', 'hang', 'vaccine', 'sucks', 'already', 'p', 'booster']",hahaha awai hang vaccine sucks already p booster
1230,hahaha yes it's true my cat has a booster vaccine wkwkwk,hahaha yes it's true my cat has a booster vaccine wkwkwk,"['hahaha', 'yes', 'it s', 'true', 'my', 'cat', 'has', 'a', 'booster', 'vaccine', 'wkwkwk']",hahaha yes it s true my cat has a booster vaccine wkwkwk
1231,"hahaha, just guarantee that the citizens who get kipi billion are the ones who get vaccinated","hahaha, just guarantee that the citizens who get kipi billion are the ones who get vaccinated","['hahaha', 'just', 'guarantee', 'that', 'the', 'citizens', 'who', 'get', 'kipi', 'billion', 'are', 'the', 'ones', 'who', 'get', 'vaccinated']",hahaha just guarantee that the citizens who get kipi billion are the ones who get vaccinated
1232,"hahahaha my vaccine certificate has been completed with the booster, have you been vaccinated yet, sis","hahahaha my vaccine certificate has been completed with the booster, have you been vaccinated yet, sis","['hahahaha', 'my', 'vaccine', 'certificate', 'has', 'been', 'completed', 'with', 'the', 'booster', 'have', 'you', 'been', 'vaccinated', 'yet', 'sis']",hahahaha my vaccine certificate has been completed with the booster have you been vaccinated yet sis
1233,"hi dr, bandung jakarta, booster vaccine, the dose of the vaccine may be","hi dr, bandung jakarta, booster vaccine, the dose of the vaccine may be","['hi', 'dr', 'bandung', 'jakarta', 'booster', 'vaccine', 'the', 'dose', 'of', 'the', 'vaccine', 'may', 'be']",hi dr bandung jakarta booster vaccine the dose of the vaccine may be
1234,hi no booster vaccine,hi no booster vaccine,"['hi', 'no', 'booster', 'vaccine']",hi no booster vaccine
1235,"hi sis eci sorry booster vaccine is ready to watch traveloka's social media, you know the new update is spirit-vk","hi sis eci sorry booster vaccine is ready to watch traveloka's social media, you know the new update is spirit-vk","['hi', 'sis', 'eci', 'sorry', 'booster', 'vaccine', 'is', 'ready', 'to', 'watch', 'traveloka s', 'social', 'media', 'you', 'know', 'the', 'new', 'update', 'is', 'spirit-vk']",hi sis eci sorry booster vaccine is ready to watch traveloka s social media you know the new update is spirit-vk
1236,"hi, is the booster vaccine mandatory, sis, is the antigen swab test","hi, is the booster vaccine mandatory, sis, is the antigen swab test","['hi', 'is', 'the', 'booster', 'vaccine', 'mandatory', 'sis', 'is', 'the', 'antigen', 'swab', 'test']",hi is the booster vaccine mandatory sis is the antigen swab test
1237,"Hi, sorry, the vaccine dose in September, January, yesterday, was positive for the booster vaccine, thank you","Hi, sorry, the vaccine dose in September, January, yesterday, was positive for the booster vaccine, thank you","['hi', 'sorry', 'the', 'vaccine', 'dose', 'in', 'september', 'january', 'yesterday', 'was', 'positive', 'for', 'the', 'booster', 'vaccine', 'thank', 'you']",hi sorry the vaccine dose in september january yesterday was positive for the booster vaccine thank you
1238,"hi asking, may yogyakarta require booster vaccines and antigens, thank you","hi asking, may yogyakarta require booster vaccines and antigens, thank you","['hi', 'asking', 'may', 'yogyakarta', 'require', 'booster', 'vaccines', 'and', 'antigens', 'thank', 'you']",hi asking may yogyakarta require booster vaccines and antigens thank you
1239,"hi, planters of the archipelago, are active in booster vaccines, the beteleme garden business unit helps medical personnel, chemists, pharma url","hi, planters of the archipelago, are active in booster vaccines, the beteleme garden business unit helps medical personnel, chemists, pharma url","['hi', 'planters', 'of', 'the', 'archipelago', 'are', 'active', 'in', 'booster', 'vaccines', 'the', 'beteleme', 'garden', 'business', 'unit', 'helps', 'medical', 'personnel', 'chemists', 'pharma', 'url']",hi planters of the archipelago are active in booster vaccines the beteleme garden business unit helps medical personnel chemists pharma url
1240,"hi friends, rsui, covid vaccines, let's get a booster dose of vaccines, rsui vaccination centers, wings foundation, care about information, visit the rsui website, url, stay safe, let's protect ourselves, family, love, vaccine, covid","hi friends, rsui, covid vaccines, let's get a booster dose of vaccines, rsui vaccination centers, wings foundation, care about information, visit the rsui website, url, stay safe, let's protect ourselves, family, love, vaccine, covid","['hi', 'friends', 'rsui', 'covid', 'vaccines', 'let s', 'get', 'a', 'booster', 'dose', 'of', 'vaccines', 'rsui', 'vaccination', 'centers', 'wings', 'foundation', 'care', 'about', 'information', 'visit', 'the', 'rsui', 'website', 'url', 'stay', 'safe', 'let s', 'protect', 'ourselves', 'family', 'love', 'vaccine', 'covid']",hi friends rsui covid vaccines let s get a booster dose of vaccines rsui vaccination centers wings foundation care about information visit the rsui website url stay safe let s protect ourselves family love vaccine covid
1241,"Hi friends, BSI supports the command program to prevent the spread of COVID-19 measures in Indonesia, University of Fostering Informatics Facilities, UBSI, vaccination center, booster, covid, vaccine, dose, student, lecturer, community, url","Hi friends, BSI supports the command program to prevent the spread of COVID-19 measures in Indonesia, University of Fostering Informatics Facilities, UBSI, vaccination center, booster, covid, vaccine, dose, student, lecturer, community, url","['hi', 'friends', 'bsi', 'supports', 'the', 'command', 'program', 'to', 'prevent', 'the', 'spread', 'of', 'covid', 'measures', 'in', 'indonesia', 'university', 'of', 'fostering', 'informatics', 'facilities', 'ubsi', 'vaccination', 'center', 'booster', 'covid', 'vaccine', 'dose', 'student', 'lecturer', 'community', 'url']",hi friends bsi supports the command program to prevent the spread of covid measures in indonesia university of fostering informatics facilities ubsi vaccination center booster covid vaccine dose student lecturer community url
1242,"Hi friends, BSI, support the order program to prevent the spread of Covid Indonesia's actions, let's join the booster vaccine, the university fosters information technology facilities, in collaboration with the Kebayoran Koramil, South Jakarta, greetings, healthy quota, url limit","Hi friends, BSI, support the order program to prevent the spread of Covid Indonesia's actions, let's join the booster vaccine, the university fosters information technology facilities, in collaboration with the Kebayoran Koramil, South Jakarta, greetings, healthy quota, url limit","['hi', 'friends', 'bsi', 'support', 'the', 'order', 'program', 'to', 'prevent', 'the', 'spread', 'of', 'covid', 'indonesia s', 'actions', 'let s', 'join', 'the', 'booster', 'vaccine', 'the', 'university', 'fosters', 'information', 'technology', 'facilities', 'in', 'collaboration', 'with', 'the', 'kebayoran', 'koramil', 'south', 'jakarta', 'greetings', 'healthy', 'quota', 'url', 'limit']",hi friends bsi support the order program to prevent the spread of covid indonesia s actions let s join the booster vaccine the university fosters information technology facilities in collaboration with the kebayoran koramil south jakarta greetings healthy quota url limit
1243,"hi, healthy friends, interval booster vaccine, give a further dose of booster for the elderly, the age of the community, according to the minimum primary vaccination, complete, let's vaccine, ministry of health, pharmacy, url","hi, healthy friends, interval booster vaccine, give a further dose of booster for the elderly, the age of the community, according to the minimum primary vaccination, complete, let's vaccine, ministry of health, pharmacy, url","['hi', 'healthy', 'friends', 'interval', 'booster', 'vaccine', 'give', 'a', 'further', 'dose', 'of', 'booster', 'for', 'the', 'elderly', 'the', 'age', 'of', 'the', 'community', 'according', 'to', 'the', 'minimum', 'primary', 'vaccination', 'complete', 'let s', 'vaccine', 'ministry', 'of', 'health', 'pharmacy', 'url']",hi healthy friends interval booster vaccine give a further dose of booster for the elderly the age of the community according to the minimum primary vaccination complete let s vaccine ministry of health pharmacy url
1244,"hi friend, download the vaccine certificate, whatsapp chatbot, care, protect, you know, let's see the Indonesian thread, the good and the young, like the education data, vaccination information, let's use a mask, let's get a covid vaccine, kominfonewsroom url","hi friend, download the vaccine certificate, whatsapp chatbot, care, protect, you know, let's see the Indonesian thread, the good and the young, like the education data, vaccination information, let's use a mask, let's get a covid vaccine, kominfonewsroom url","['hi', 'friend', 'download', 'the', 'vaccine', 'certificate', 'whatsapp', 'chatbot', 'care', 'protect', 'you', 'know', 'let s', 'see', 'the', 'indonesian', 'thread', 'the', 'good', 'and', 'the', 'young', 'like', 'the', 'education', 'data', 'vaccination', 'information', 'let s', 'use', 'a', 'mask', 'let s', 'get', 'a', 'covid', 'vaccine', 'kominfonewsroom', 'url']",hi friend download the vaccine certificate whatsapp chatbot care protect you know let s see the indonesian thread the good and the young like the education data vaccination information let s use a mask let s get a covid vaccine kominfonewsroom url
1245,"hi friend, permit process for a strong type of covid vaccine, booster three vaccines, let's see information on Indonesian friends, both young and old, vaccine vaccination data, booster booster, kominfonewsroom url","hi friend, permit process for a strong type of covid vaccine, booster three vaccines, let's see information on Indonesian friends, both young and old, vaccine vaccination data, booster booster, kominfonewsroom url","['hi', 'friend', 'permit', 'process', 'for', 'a', 'strong', 'type', 'of', 'covid', 'vaccine', 'booster', 'three', 'vaccines', 'let s', 'see', 'information', 'on', 'indonesian', 'friends', 'both', 'young', 'and', 'old', 'vaccine', 'vaccination', 'data', 'booster', 'booster', 'kominfonewsroom', 'url']",hi friend permit process for a strong type of covid vaccine booster three vaccines let s see information on indonesian friends both young and old vaccine vaccination data booster booster kominfonewsroom url
1246,"hi, no progress, after the booster vaccine, it's a rest day hihihi btw tomorrow I'm going to college again","hi, no progress, after the booster vaccine, it's a rest day hihihi btw tomorrow I'm going to college again","['hi', 'no', 'progress', 'after', 'the', 'booster', 'vaccine', 'it s', 'a', 'rest', 'day', 'hihihi', 'btw', 'tomorrow', 'i m', 'going', 'to', 'college', 'again']",hi no progress after the booster vaccine it s a rest day hihihi btw tomorrow i m going to college again
1247,It's the right of people to say that if people refuse the booster vaccine,It's the right of people to say that if people refuse the booster vaccine,"['it s', 'the', 'right', 'of', 'people', 'to', 'say', 'that', 'if', 'people', 'refuse', 'the', 'booster', 'vaccine']",it s the right of people to say that if people refuse the booster vaccine
1248,right to receive booster vaccine wait for the distance to receive vaccine gasss url,right to receive booster vaccine wait for the distance to receive vaccine gasss url,"['right', 'to', 'receive', 'booster', 'vaccine', 'wait', 'for', 'the', 'distance', 'to', 'receive', 'vaccine', 'gasss', 'url']",right to receive booster vaccine wait for the distance to receive vaccine gasss url
1249,"halal vaccine, sinovac booster, Indonesia, keep Indonesia's vaccines healthy, great, united against covid, the country is recovering with vaccines, url","halal vaccine, sinovac booster, Indonesia, keep Indonesia's vaccines healthy, great, united against covid, the country is recovering with vaccines, url","['halal', 'vaccine', 'sinovac', 'booster', 'indonesia', 'keep', 'indonesia s', 'vaccines', 'healthy', 'great', 'united', 'against', 'covid', 'the', 'country', 'is', 'recovering', 'with', 'vaccines', 'url']",halal vaccine sinovac booster indonesia keep indonesia s vaccines healthy great united against covid the country is recovering with vaccines url
1250,"hello admin, there is a problem with booster vaccines, info, brother, vaccine with booster tickets appeared in March but brother's booster tickets appeared in December, please respond","hello admin, there is a problem with booster vaccines, info, brother, vaccine with booster tickets appeared in March but brother's booster tickets appeared in December, please respond","['hello', 'admin', 'there', 'is', 'a', 'problem', 'with', 'booster', 'vaccines', 'info', 'brother', 'vaccine', 'with', 'booster', 'tickets', 'appeared', 'in', 'march', 'but', 'brother s', 'booster', 'tickets', 'appeared', 'in', 'december', 'please', 'respond']",hello admin there is a problem with booster vaccines info brother vaccine with booster tickets appeared in march but brother s booster tickets appeared in december please respond
1251,"hello kkmp son of jaya, I want to have the booster dose of the ijil fon vaccine","hello kkmp son of jaya, I want to have the booster dose of the ijil fon vaccine","['hello', 'kkmp', 'son', 'of', 'jaya', 'i', 'want', 'to', 'have', 'the', 'booster', 'dose', 'of', 'the', 'ijil', 'fon', 'vaccine']",hello kkmp son of jaya i want to have the booster dose of the ijil fon vaccine
1252,"hello min info booster vaccine for the weekend area, thank you","hello min info booster vaccine for the weekend area, thank you","['hello', 'min', 'info', 'booster', 'vaccine', 'for', 'the', 'weekend', 'area', 'thank', 'you']",hello min info booster vaccine for the weekend area thank you
